name,slug,sport,city,state,startDate,endDate,sourceUrl,source_domain,title,notes
National League Winter Event,national-league-winter-event,soccer,,,,,https://www.usyouthsoccer.org/event/national-league-winter-event/,www.usyouthsoccer.org,,National League Winter Event
NL Cup (Southeast Playoffs),nl-cup-southeast-playoffs,soccer,,,,,https://www.usyouthsoccer.org/event/nl-cup-southeast-playoffs/,www.usyouthsoccer.org,,NL Cup (Southeast Playoffs)
NL Cup (Southwest Playoffs),nl-cup-southwest-playoffs,soccer,,,,,https://www.usyouthsoccer.org/event/nl-cup-southwest-playoffs/,www.usyouthsoccer.org,,NL Cup (Southwest Playoffs)
NL Cup (Northeast Playoffs),nl-cup-northeast-playoffs,soccer,,,,,https://www.usyouthsoccer.org/event/nl-cup-northeast-playoffs/,www.usyouthsoccer.org,,NL Cup (Northeast Playoffs)
NL Cup (Northwest Playoffs),nl-cup-northwest-playoffs,soccer,,,,,https://www.usyouthsoccer.org/event/nl-cup-northwest-playoffs/,www.usyouthsoccer.org,,NL Cup (Northwest Playoffs)
NL Cup (Finals),nl-cup-finals,soccer,,,,,https://www.usyouthsoccer.org/event/nl-cup-finals/,www.usyouthsoccer.org,,NL Cup (Finals)
Previous Events,previous-events,soccer,,,,,https://www.usyouthsoccer.org/events/list/?eventDisplay=past,www.usyouthsoccer.org,,Previous Events
