name,slug,sport,level,state,city,venue,address,start_date,end_date,referee_pay,referee_contact,source_url,source_domain,summary,status,confidence,run_id,updated_at
FAQs,faqs-soccer-us,soccer,national,US,Soccer,,,,,,,https://usclubsoccer.org/about/faqs/,usclubsoccer.org,Below are answers to questions prospective members often have. You should also note the other information on the website.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Partners,partners-held-insurance-agency-nationally-with-its-headquarters-office-in-the-orlando-suburb-of-longwood-fl,soccer,national,FL,held insurance agency nationally with its headquarters office in the Orlando suburb of Longwood,,,,,,,https://usclubsoccer.org/sponsors-resources/,usclubsoccer.org,US Club Soccer Partners and Supporting Partners,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Board of Directors,board-of-directors-heat-fc-technical-director-ec,soccer,national,EC,Heat FC Technical Director,,,,,,,https://usclubsoccer.org/board-of-directors/,usclubsoccer.org,Regional Board Directors are elected by a popular vote of competitive member clubs in good standing in each region. Each member club has one vote for each Board of Directors seat vacancy in its region. At-Large Directors are appointed by the US Club Soccer Board of Directors.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Staff Directory,staff-directory-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/staff-directory/,usclubsoccer.org,Meet the US Club Soccer staff! Find their contact information and learn more about our team members here.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Employment / Internships,employment-internships-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/jobs/,usclubsoccer.org,We're Hiring!,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Programs,programs-through-these-leagues-us,soccer,national,US,Through these leagues,,,,,,,https://usclubsoccer.org/programs/,usclubsoccer.org,"PLAYERS FIRST Players First is a philosophy that guides US Club Soccer, its leadership, and member clubs and leagues to establish the optimal environment for player development and member experiences. Players First was founded on the following pillars: Club Development Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Leagues,leagues-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/leagues/,usclubsoccer.org,"US Club Soccer administers and sanctions leagues throughout the country for various age groups, competitive levels and geographic sizes and areas. These league platforms are all created with similar principles and guidelines, and collectively provide a full competition spectrum for modern clubs",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
NPL,npl-npl-member-league-qualifiers-to-converge-on-denver-co,soccer,national,CO,NPL member league qualifiers to converge on Denver,,,,,,,https://usclubsoccer.org/npl/,usclubsoccer.org,https://usclubsoccer.org/wp-content/uploads/2022/07/Animated-log-1-4.mp4 NPL Member Leagues NPL Finals Archive of Champions Order NPL Patches NPL Brand Guidelines Member League Standards RECENT NEWS,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
NPL Member Leagues,npl-member-leagues-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/npl-member-leagues/,usclubsoccer.org,Take a look at our NPL Member Leagues across the country.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
NPL Finals - US Club Soccer Website,npl-finals-us-club-soccer-website-victory-waycommerce-city-co,soccer,national,CO,Victory WayCommerce City,,,,,,,https://usclubsoccer.org/npl-finals/,usclubsoccer.org,"The NPL Finals is the annual, coveted destination for all NPL participants. U-13 through U-19 teams qualify through year-long competition within their respective member leagues.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
