rank,venue_name,city,state,venue_id,event_count,good_tournament_url_count,upcoming_count,venue_url,sample_tournament_1,sample_tournament_url_1,sample_tournament_2,sample_tournament_url_2,sample_tournament_3,sample_tournament_url_3
27,Thompson Park,Monroe Township,NJ,e1794045-9d7f-49a3-bcad-485446e90e81,4,4,4,"https://www.google.com/maps/search/?api=1&query=1701 Perrineville Road, Monroe Township, NJ, 08831",Baseball and Taxes,https://njbaseball.usssa.com/event/baseball-and-taxes/,Make Momma Proud,https://njbaseball.usssa.com/event/make-momma-proud/,March Mayhem,https://njbaseball.usssa.com/event/march-mayhem/
28,15086 W. Baden St.,Unknown,AZ,03a84a63-8d0b-4a1b-a418-9ebd43cb5d43,4,4,0,https://azsoccerevents.com/page/show/1302231-christmas-angel,Salvation Army Christmas Angel,https://azsoccerevents.com/page/show/1302231-christmas-angel,Kick For The Cure,https://azsoccerevents.com/page/show/1302232-kick-for-the-cure,Sandsharks Invitational,https://azsoccerevents.com/
29,2500 E. Ajo Way,Tucson,AZ,0a36eee1-3f20-4083-baca-14053c27f2ec,4,4,0,https://www.kinosportscomplex.com/,AZ Select Clubs ShowcaseRSLAZ Southern AZ,https://rslazsoccer.com/arizona-select-clubs-showcase/,CDO Challenge Cup 2026,https://cdosoccer.com/cdochallengecup,FC Tucson Youth Spring Tournament,https://fctucsonyouth.com/fcty-spring-classic
30,West Valley Events Complex,Gledale,AZ,82a2297f-6af5-40c6-afa1-bc5d3034461c,4,4,0,https://azfcselect.com/fields,AZFC Select Invitational 2026,https://azfcselect.com/,AZFC Select Challenge Cup 2026,https://azfcselect.com/,AZFC Select Challenge Cup 2026AZFC Select,https://azfcselect.com/
31,2083 Lawrenceville Road,Lawrenceville,NJ,ea97a629-c11e-4e17-b267-d06827492cc0,3,3,3,https://g8lacrosse.com/location/,The Nike G8,https://g8lacrosse.com,Lacrosse World Series Championship Boys,https://lacrosseworldserieschampionship.com/boys/,Lacrosse World Series Championship Girls,https://lacrosseworldserieschampionship.com/girls/
32,2820 Champions Way,Melissa,TX,39925cd6-f0d9-45da-b3c7-bd249571bd9b,3,3,3,https://beaconparktx.com/,2026 Easter Cup,https://fctrevents.com/easter-cup/,Texas Draw,https://victoryeventseries.com/event/texas-draw/,TEXAS DRAW (Girls),https://victoryeventseries.com/event/texas-draw-girls/
33,4th Street Park,Ogden,UT,49a9a412-448f-41ce-a97f-eac1af97f655,3,3,3,"https://www.google.com/maps/search/?api=1&query=275 4th St S, Ogden, UT, 84404",Player’s Weekend Tournament – 2026,https://utbaseball.usssa.com/event/players-weekend-tournament-2026/,USSSA Utah Championship – 2026,https://utbaseball.usssa.com/event/usssa-utah-championship-2026/,Stars & Strikes Tournament – 2026,https://utbaseball.usssa.com/event/stars-strikes-tournament-2026/
34,Cactus Yards,Gilbert,AZ,86082468-20ea-4d71-b801-7d19d73529a8,3,3,3,"https://www.google.com/maps/search/?api=1&query=4536 E Elliot Road, Gilbert, AZ, 85234",Cactus Yards Winter League,https://azbaseball.usssa.com/event/cactus-yards-winter-league-3/,USSSA Spring Training II,https://azbaseball.usssa.com/event/usssa-spring-training-ii-4/,Victus Tour Spring Championship Super NIT II,https://azbaseball.usssa.com/event/usssa-spring-championships-super-nit-ii-2/
35,Chimney Park,Windsor,CO,8337c92a-5f34-4a65-a879-8fabae25c364,3,3,3,"https://www.google.com/maps/search/?api=1&query=501 E. Chestnut St, Windsor, CO, 80550",Founders Tournament,https://cobaseball.usssa.com/event/founders-tournament/,UA Champ in Windsor and Evans,https://cobaseball.usssa.com/event/uacs/,UACS Daddyz Daze,https://cobaseball.usssa.com/event/uacs-daddyz-daze/
36,Church Hill Park,Church Hill,MD,b4858375-7792-4465-ac9e-1b3a5b1c7e3d,3,3,3,"https://www.google.com/maps/search/?api=1&query=1130 Sudlersville Road, Church Hill, MD, 21623",MADE Maryland State Championship,https://mdbaseball.usssa.com/event/made-maryland-state-championship/,MADE Baseball Spring League (8U-13U),https://mdbaseball.usssa.com/event/made-baseball-spring-league/,MADE The 42 Classic,https://mdbaseball.usssa.com/event/made-the-42-classic/
37,Dover Little League,Dover,DE,1fc1ddf8-4cd2-4046-bd8d-a3c66a6de629,3,3,3,"https://www.google.com/maps/search/?api=1&query=200 Electric Ave, Dover, DE, 19901",MADE Memorial Day Mayhem,https://debaseball.usssa.com/event/made-memorial-day-mayhem/,MADE Mid-State Madness,https://debaseball.usssa.com/event/made-mid-state-madness/,MADE Baseball Spring League (8U-13U),https://mdbaseball.usssa.com/event/made-baseball-spring-league/
38,Field Maps,Phoenix,AZ,ffb2fa2c-1fdd-4542-a3cf-89dbe54e2ba7,3,3,3,https://www.rsl-az.com/ostrichfields,RSLAZ,https://rsl-az.com/ostrichfestival,Ostrich Festival,https://rsl-az.com/ostrichfestival,RSLAZ North,https://rsl-az.com/azcollegeshowcase
39,Fort Buenaventura Park,Ogden,UT,01be8ba7-e35b-4dbc-8b90-557c821833c6,3,3,3,"https://www.google.com/maps/search/?api=1&query=2450 A Ave, Ogden, UT, 84401",USSSA Utah Championship – 2026,https://utbaseball.usssa.com/event/usssa-utah-championship-2026/,Player’s Weekend Tournament – 2026,https://utbaseball.usssa.com/event/players-weekend-tournament-2026/,Stars & Strikes Tournament – 2026,https://utbaseball.usssa.com/event/stars-strikes-tournament-2026/
40,Griffin Field,Kalispell,MT,6db2c961-a1e0-4d3a-828d-dbe032310681,3,3,3,http://www.kalispelllakers.org,Canadian Days Tournament,https://www.legion.org/Tournaments/2026/May/canadian-days-tournament,Flathead Lake Invitational,https://www.legion.org/Tournaments/2026/June/flathead-lake-invitational,John R. Harp Memorial Tourmament,https://www.legion.org/Tournaments/2026/July/john-r-harp-memorial-tourmament
41,Jefferson Cup Venue,Glen Allen,VA,4c4430de-9f67-4ff6-bfda-f0ef9aa71ef6,3,3,3,https://www.google.com/maps/d/u/0/viewer?mid=1RC3229VO5wPB8zgIC25pu5M8aXUbIRM&ll=37.87899794316455%2C-77.21125690515062&z=9,Jefferson Cup,https://jeffersoncup.rutournaments.com/,Ultimate Cup,https://ultimatecup.rutournaments.com/,Nike Spring Classic,https://nikerecsoccerseries.rutournaments.com/
42,Legends Fast Break,Frederica,DE,1c45227b-3db0-40ce-ba7a-574c7faaec11,3,3,3,https://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=4000+Bay+Rd+Frederica+DE+19963,Maryland Cup Summer Showcase,https://mdcuplax.com/,Legends Fast Break,https://legendslax.com/event/legends-fast-break/,VICTORY FALL CLASSIC (BOYS),https://victoryeventseries.com/boys-victory-fall-classic/
43,LIBERTY NATIONAL ELITE FALL CLASSIC,Aston,PA,8e8a52ae-aba9-4fec-8b46-c338cc1ba498,3,3,3,https://victoryeventseries.com/event/liberty-national-elite-fall-classic/#map,LIBERTY NATIONAL ELITE FALL CLASSIC,https://victoryeventseries.com/event/liberty-national-elite-fall-classic/,Lacrosse World Series Championship Boys,https://lacrosseworldserieschampionship.com/boys/,Lacrosse World Series Championship Girls,https://lacrosseworldserieschampionship.com/girls/
44,McCurdy field,Frederick,MD,da63c99b-aaea-4b3d-89cf-83cd51fb6254,3,3,3,https://www.cityoffrederickmd.gov/facilities/facility/details/123,Sonny Blank junior wooden bat,https://www.legion.org/Tournaments/2026/May/sonny-blank-junior-wooden-bat,Sonny Blank junio wooden bat,https://www.legion.org/Tournaments/2026/May/sonny-blank-junio-wooden-bat,Frederick Wooden Bat,https://www.legion.org/Tournaments/2026/June/frederick-wooden-bat
45,Northwoods Complex,Brooklyn Park,MN,624a3ee3-71f1-4453-acc0-64590ee9b2ed,3,3,3,"https://www.google.com/maps/search/?api=1&query=7600 107th Avenue North, Brooklyn Park, MN, 55443",Prospects American Bomb Pop Classic,https://mnbaseball.usssa.com/event/prospects-american-bomb-pop-classic/,Prospects June 4 Star Classic,https://mnbaseball.usssa.com/event/prospects-june-4-star-classic/,Prospects May Classic,https://mnbaseball.usssa.com/event/prospects-may-classic/
46,Rich Valley Complex,Inver Grove Heights,MN,97fd9268-2362-4674-99b7-f2e2751f4e61,3,3,3,"https://www.google.com/maps/search/?api=1&query=1841 105th St. East, Inver Grove Heights, MN, 55077",Prospects American Bomb Pop Classic,https://mnbaseball.usssa.com/event/prospects-american-bomb-pop-classic/,Prospects June 4 Star Classic,https://mnbaseball.usssa.com/event/prospects-june-4-star-classic/,Prospects May Classic,https://mnbaseball.usssa.com/event/prospects-may-classic/
47,Sudlersville Park,Sudlersville,MD,65fbad12-3355-42c7-a772-0337ccca334c,3,3,3,"https://www.google.com/maps/search/?api=1&query=206 E. Main Street , Sudlersville, MD, 21668",MADE Maryland State Championship,https://mdbaseball.usssa.com/event/made-maryland-state-championship/,MADE The 42 Classic,https://mdbaseball.usssa.com/event/made-the-42-classic/,MADE Baseball Spring League (8U-13U),https://mdbaseball.usssa.com/event/made-baseball-spring-league/
48,West Park,Roy,UT,0183873a-7bfa-46af-b65c-8909c6dedadd,3,3,3,"https://www.google.com/maps/search/?api=1&query=2900 4650 S St, Roy, UT, 84067",Stars & Strikes Tournament – 2026,https://utbaseball.usssa.com/event/stars-strikes-tournament-2026/,USSSA Utah Championship – 2026,https://utbaseball.usssa.com/event/usssa-utah-championship-2026/,Player’s Weekend Tournament – 2026,https://utbaseball.usssa.com/event/players-weekend-tournament-2026/
49,White Marsh Park,Centreville,MD,16d8e9d9-6d98-48b8-9a08-186d73fbdd23,3,3,3,"https://www.google.com/maps/search/?api=1&query=200 Bloomfield Farm Lane, Centreville, MD, 21617",MADE Maryland State Championship,https://mdbaseball.usssa.com/event/made-maryland-state-championship/,MADE Baseball Spring League (8U-13U),https://mdbaseball.usssa.com/event/made-baseball-spring-league/,MADE The 42 Classic,https://mdbaseball.usssa.com/event/made-the-42-classic/
50,Central Sports Park,Baton Rouge,LA,abdb32b1-bfd9-44e4-8eb5-4f8d28b8feaa,3,3,2,"https://www.google.com/maps/search/?api=1&query=10501 Lovett Road, Baton Rouge, LA, 70818",Capital Area Conference,https://labaseball.usssa.com/event/capital-area-conference/,Major League Dreams(Major League The Movie Rings),https://labaseball.usssa.com/event/top-gun-showdown-pap-2/,Tigertown Showdown – PAP,https://labaseball.usssa.com/event/tigertown-showdown-pap-2/
